title,link,description,pubDate,title_description
"의성군,내년도 장애인 일자리사업 참여자 모집",http://www.breaknews.com/850869,"신청대상은 장애인복지법상 등록된 만 18세 이상 미<b>취업</b> 장애인이며, 단 2년 이상... that <b>it</b> will recruit participants for the ‘2022 Jobs for the Disabled Project’ to expand social... ","Thu, 25 Nov 2021 12:36:00 +0900","의성군,내년도 장애인 일자리사업 참여자 모집 신청대상은 장애인복지법상 등록된 만 18세 이상 미<b>취업</b> 장애인이며, 단 2년 이상... that <b>it</b> will recruit participants for the ‘2022 Jobs for the Disabled Project’ to expand social... "
"NS홈쇼핑, '2022 신입사원 채용 설명회' 진행",http://www.thefirstmedia.net/news/articleView.html?idxno=84751,"등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간으로 마련됐다. 또한, 지난해 NS홈쇼핑에 입사한 직원의 생생한 경험담과 조언을 듣는 시간도 가졌다. 오전에는 MD, 오후에는 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명은... ","Thu, 25 Nov 2021 12:06:00 +0900","NS홈쇼핑, '2022 신입사원 채용 설명회' 진행 등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간으로 마련됐다. 또한, 지난해 NS홈쇼핑에 입사한 직원의 생생한 경험담과 조언을 듣는 시간도 가졌다. 오전에는 MD, 오후에는 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명은... "
"NS홈쇼핑 MD PD 포함 신입사원 채용, 서류접수는 28일까지",https://www.businesspost.co.kr/BP?command=article_view&num=261278,"상품기획(MD)과 프로듀서(PD), 정보기술(<b>IT</b>)분야에서 일하는 직원들이 직무와 적응기, 직무 만족도 등을 설명했다. 박재순 NS홈쇼핑 인사팀장은 &quot;희망 직무 준비, 업계 이해 등 막연한 두려움으로 <b>취업</b> 준비에 어려움을... ","Thu, 25 Nov 2021 11:40:00 +0900","NS홈쇼핑 MD PD 포함 신입사원 채용, 서류접수는 28일까지 상품기획(MD)과 프로듀서(PD), 정보기술(<b>IT</b>)분야에서 일하는 직원들이 직무와 적응기, 직무 만족도 등을 설명했다. 박재순 NS홈쇼핑 인사팀장은 &quot;희망 직무 준비, 업계 이해 등 막연한 두려움으로 <b>취업</b> 준비에 어려움을... "
"컴퓨터학원 성남 그린컴퓨터아카데미, 자바&amp;스프링 프레임워크 개발자 과정 운...",http://edu.donga.com/?p=article&ps=view&at_no=20211125113510288133,학원 관계자는 “최근 <b>IT</b>회사에 개발자로 <b>취업</b>하고자 하는 학생들이 늘고 있다”며 “실무 프로젝트 경험을 쌓아 입사 후 업무에 빠르게 적응하고 싶다면 해당 과정을 수강하기를 추천한다”고 전했다. 한편... ,"Thu, 25 Nov 2021 11:36:00 +0900","컴퓨터학원 성남 그린컴퓨터아카데미, 자바&amp;스프링 프레임워크 개발자 과정 운... 학원 관계자는 “최근 <b>IT</b>회사에 개발자로 <b>취업</b>하고자 하는 학생들이 늘고 있다”며 “실무 프로젝트 경험을 쌓아 입사 후 업무에 빠르게 적응하고 싶다면 해당 과정을 수강하기를 추천한다”고 전했다. 한편... "
김희정 관장 &quot;30대 여성 <b>취업</b>률 가장 낮아...육아 등으로 일과 가정 양립 어려...,https://news.bbsi.co.kr/news/articleView.html?idxno=3051207,"알선과 <b>취업</b> 사후 관리 등을 지원합니다. 올해 같은 경우 총 15개 가정이 직업 훈련 프로그램에 지원했습니다. 올해에는 디지털 관련해서 정보화 교육을 많이 진행했습니다. 전문가 양성 과정, 마케팅 등 <b>IT</b>관련이 인기가... ","Thu, 25 Nov 2021 11:24:00 +0900","김희정 관장 &quot;30대 여성 <b>취업</b>률 가장 낮아...육아 등으로 일과 가정 양립 어려... 알선과 <b>취업</b> 사후 관리 등을 지원합니다. 올해 같은 경우 총 15개 가정이 직업 훈련 프로그램에 지원했습니다. 올해에는 디지털 관련해서 정보화 교육을 많이 진행했습니다. 전문가 양성 과정, 마케팅 등 <b>IT</b>관련이 인기가... "
졸업하자마자 <b>취업</b>하고 싶다면… '반도체' 채용조건형 계약학과 주목,http://news.unn.net/news/articleView.html?idxno=519806,(사진=기획재정부)  대학 졸업장이 <b>취업</b>을 보장하던 시대는 지났다. 요즘 청년들은 <b>취업</b>을 '준비'하는 것도... 정보통신과 <b>IT</b>기기 수요가 늘어나고 코로나19가 가져온 언택트 문화 확대로 전자기기 수요가 급증하면서... ,"Thu, 25 Nov 2021 11:10:00 +0900",졸업하자마자 <b>취업</b>하고 싶다면… '반도체' 채용조건형 계약학과 주목 (사진=기획재정부)  대학 졸업장이 <b>취업</b>을 보장하던 시대는 지났다. 요즘 청년들은 <b>취업</b>을 '준비'하는 것도... 정보통신과 <b>IT</b>기기 수요가 늘어나고 코로나19가 가져온 언택트 문화 확대로 전자기기 수요가 급증하면서... 
"인터넷은행, '40세도 퇴직'하는 은행원들 흡수",https://www.paxnetnews.com/articles/80658,"금융권 <b>취업</b> 0순위었던 은행의 인력 규모가 빠르게 축소되고 있다. 업계에서는 올해에만 은행을 떠나는... 플랫폼 위주의 영업이 주를 이루는 만큼 개발자등 <b>IT</b>인력 위주 경력직 채용이 주를 이루고 있다. 또, 시중은행... ","Thu, 25 Nov 2021 11:06:00 +0900","인터넷은행, '40세도 퇴직'하는 은행원들 흡수 금융권 <b>취업</b> 0순위었던 은행의 인력 규모가 빠르게 축소되고 있다. 업계에서는 올해에만 은행을 떠나는... 플랫폼 위주의 영업이 주를 이루는 만큼 개발자등 <b>IT</b>인력 위주 경력직 채용이 주를 이루고 있다. 또, 시중은행... "
"[대한민국 굿 잡스] NS홈쇼핑, '2022 신입사원 채용 설명회' 진행",http://www.newslock.co.kr/news/articleView.html?idxno=49937,"등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간으로 마련됐다. 또한 지난해 NS홈쇼핑에 입사한 직원의 경험담과 조언을 듣는 시간도 가졌다. 오전에는 MD, 오후에는 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명과... ","Thu, 25 Nov 2021 10:54:00 +0900","[대한민국 굿 잡스] NS홈쇼핑, '2022 신입사원 채용 설명회' 진행 등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간으로 마련됐다. 또한 지난해 NS홈쇼핑에 입사한 직원의 경험담과 조언을 듣는 시간도 가졌다. 오전에는 MD, 오후에는 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명과... "
"세종대 대학일자리사업단, 11월 SJ 동문선배 멘토링 '대기업 <b>IT</b>개발자편' 개최",http://www.onews.tv/news/articleView.html?idxno=100060,동문선배 멘토링_이미지©열린뉴스통신 세종대학교(총장 배덕효) 대학일자리사업단은 11월 26일 SJ 동문선배 멘토링 '대기업 <b>IT</b>개발자편'을 개최한다. 이번 프로그램은 <b>취업</b>에 관심이 많은 학생에게 직무별 정보를... ,"Thu, 25 Nov 2021 10:54:00 +0900","세종대 대학일자리사업단, 11월 SJ 동문선배 멘토링 '대기업 <b>IT</b>개발자편' 개최 동문선배 멘토링_이미지©열린뉴스통신 세종대학교(총장 배덕효) 대학일자리사업단은 11월 26일 SJ 동문선배 멘토링 '대기업 <b>IT</b>개발자편'을 개최한다. 이번 프로그램은 <b>취업</b>에 관심이 많은 학생에게 직무별 정보를... "
세종대 대학일자리사업단 11월 SJ 동문선배 멘토링 '대기업 <b>IT</b>개발자편' 개최,http://www.veritas-a.com/news/articleView.html?idxno=398447,세종대 대학일자리사업단은 26일 SJ 동문선배 멘토링 '대기업 <b>IT</b>개발자편'을 개최한다고 25일 전했다. 이번 프로그램은 <b>취업</b>에 관심이 많은 학생에게 직무별 정보를 제공하기 위해 마련됐다. 멘토링은 <b>취업</b> 준비과정부터... ,"Thu, 25 Nov 2021 10:54:00 +0900",세종대 대학일자리사업단 11월 SJ 동문선배 멘토링 '대기업 <b>IT</b>개발자편' 개최 세종대 대학일자리사업단은 26일 SJ 동문선배 멘토링 '대기업 <b>IT</b>개발자편'을 개최한다고 25일 전했다. 이번 프로그램은 <b>취업</b>에 관심이 많은 학생에게 직무별 정보를 제공하기 위해 마련됐다. 멘토링은 <b>취업</b> 준비과정부터... 
"메트라이프생명·구찌·소니 등 외국계 기업, 대거 채용",http://www.metroseoul.co.kr/article/20211125500097,"갖춰 <b>취업</b>준비생들로부터 인기가 높은 가운데, 국내에 진출한 외국계 대기업의 채용이 이어지고 있다.... 모집 부문은 ▲상품개발 ▲영업기획 ▲영업관리 ▲영업교육 ▲Digital ▲<b>IT</b> ▲Data Analytics ▲총무 ▲영업... ","Thu, 25 Nov 2021 10:50:00 +0900","메트라이프생명·구찌·소니 등 외국계 기업, 대거 채용 갖춰 <b>취업</b>준비생들로부터 인기가 높은 가운데, 국내에 진출한 외국계 대기업의 채용이 이어지고 있다.... 모집 부문은 ▲상품개발 ▲영업기획 ▲영업관리 ▲영업교육 ▲Digital ▲<b>IT</b> ▲Data Analytics ▲총무 ▲영업... "
"[기업이슈] 에이블런, 서울시 청년<b>취업</b>사관학교 새싹(SeSAC)을 통한 DT 기반 ...",http://www.sisunnews.co.kr/news/articleView.html?idxno=152107,"<b>IT</b>교육기관 에이블런이 서울시 청년<b>취업</b>사관학교 새싹(SeSAC)을 통한 DT 기반 <b>취업</b>연계과정을 열었다고 밝혔다. 청년<b>취업</b>사관학교의 새싹 DT과정은 서비스기획, UIUX, 퍼블리싱, 디지털 마케팅 등 개발자와의 협업... ","Thu, 25 Nov 2021 10:46:00 +0900","[기업이슈] 에이블런, 서울시 청년<b>취업</b>사관학교 새싹(SeSAC)을 통한 DT 기반 ... <b>IT</b>교육기관 에이블런이 서울시 청년<b>취업</b>사관학교 새싹(SeSAC)을 통한 DT 기반 <b>취업</b>연계과정을 열었다고 밝혔다. 청년<b>취업</b>사관학교의 새싹 DT과정은 서비스기획, UIUX, 퍼블리싱, 디지털 마케팅 등 개발자와의 협업... "
위드코로나로 <b>취업</b>한파도 풀릴까? NS홈쇼핑 2022 신입사원 채용 설명회 열어,http://www.megaeconomy.co.kr/news/newsview.php?ncode=1065577511978317,"등 <b>취업</b>준비생들의 궁금증을 해소할 수 있는 시간이 마련됐다. 또, 지난해 NS홈쇼핑에 입사한 직원의 생생한 경험담과 조언을 듣는 시간도 가졌다. 오전엔 MD, 오후엔 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명과 함께... ","Thu, 25 Nov 2021 10:46:00 +0900","위드코로나로 <b>취업</b>한파도 풀릴까? NS홈쇼핑 2022 신입사원 채용 설명회 열어 등 <b>취업</b>준비생들의 궁금증을 해소할 수 있는 시간이 마련됐다. 또, 지난해 NS홈쇼핑에 입사한 직원의 생생한 경험담과 조언을 듣는 시간도 가졌다. 오전엔 MD, 오후엔 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명과 함께... "
"NS홈쇼핑, 스터디카페서 채용설명회...&quot;전문가·작년 입사자와 소통&quot;",http://www.newspim.com/news/view/20211125000042,등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간을 가졌다. NS홈쇼핑 MD·PD·<b>IT</b> 등 현직자와 작년 입사자의 경험담과 조언을 듣는 시간도 가졌다. 직무에 대한 설명과 직장생활에 대한 적응기와 직무 만족도에 대한... ,"Thu, 25 Nov 2021 10:37:00 +0900","NS홈쇼핑, 스터디카페서 채용설명회...&quot;전문가·작년 입사자와 소통&quot; 등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간을 가졌다. NS홈쇼핑 MD·PD·<b>IT</b> 등 현직자와 작년 입사자의 경험담과 조언을 듣는 시간도 가졌다. 직무에 대한 설명과 직장생활에 대한 적응기와 직무 만족도에 대한... "
"국비지원 컴퓨터학원 더조은컴퓨터아카데미, 국가기간∙전략산업직종훈련 수료...",http://www.lecturernews.com/news/articleView.html?idxno=81639,"과정도 <b>취업</b>률 100%를 달성할 수 있도록 수강생들의 학습을 적극적으로 도울 것&quot;이라고 전했다. 한편 더조은컴퓨터아카데미는 <b>IT</b>, 디자인, 영상편집 등 다양한 분야의 컴퓨터 교육을 통해 4차 산업 시대의 핵심 실무... ","Thu, 25 Nov 2021 10:36:00 +0900","국비지원 컴퓨터학원 더조은컴퓨터아카데미, 국가기간∙전략산업직종훈련 수료... 과정도 <b>취업</b>률 100%를 달성할 수 있도록 수강생들의 학습을 적극적으로 도울 것&quot;이라고 전했다. 한편 더조은컴퓨터아카데미는 <b>IT</b>, 디자인, 영상편집 등 다양한 분야의 컴퓨터 교육을 통해 4차 산업 시대의 핵심 실무... "
LG·롯데 등 5대 그룹 연말 인사 '스타트'…관전 포인트는?,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000638571,고동진 <b>IT</b>·모바일(IM)부문 사장 등 3명이 재선임된 만큼 '수뇌부' 인사가 크지 않을 것으로 관측된다.... 이번 인사에선 <b>취업</b>제한이 지난달 말 풀린 최재원 수석부회장의 복귀 여부가 가장 큰 관심사다. 최 부회장의 경영... ,"Thu, 25 Nov 2021 10:34:00 +0900",LG·롯데 등 5대 그룹 연말 인사 '스타트'…관전 포인트는? 고동진 <b>IT</b>·모바일(IM)부문 사장 등 3명이 재선임된 만큼 '수뇌부' 인사가 크지 않을 것으로 관측된다.... 이번 인사에선 <b>취업</b>제한이 지난달 말 풀린 최재원 수석부회장의 복귀 여부가 가장 큰 관심사다. 최 부회장의 경영... 
"NS홈쇼핑, ‘2022 신입사원 채용 설명회’ 열어",http://www.thekpm.com/view.php?ud=202111251019261756124506bdf1_17,"등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간으로 마련됐다. 또 지난해 NS홈쇼핑에 입사한 직원의 생생한 경험담과 조언을 듣는 시간도 가졌다. 오전에는 MD, 오후에는 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명은 물론... ","Thu, 25 Nov 2021 10:22:00 +0900","NS홈쇼핑, ‘2022 신입사원 채용 설명회’ 열어 등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간으로 마련됐다. 또 지난해 NS홈쇼핑에 입사한 직원의 생생한 경험담과 조언을 듣는 시간도 가졌다. 오전에는 MD, 오후에는 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명은 물론... "
"NS홈쇼핑, ‘2022 신입사원 채용 설명회’ 진행",https://www.fetv.co.kr/news/article.html?no=101622,"등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간으로 마련됐다. 지난해 NS홈쇼핑에 입사한 직원의 생생한 경험담과 조언을 듣는 시간도 가졌다. 오전에는 MD, 오후에는 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명은 물론... ","Thu, 25 Nov 2021 10:16:00 +0900","NS홈쇼핑, ‘2022 신입사원 채용 설명회’ 진행 등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간으로 마련됐다. 지난해 NS홈쇼핑에 입사한 직원의 생생한 경험담과 조언을 듣는 시간도 가졌다. 오전에는 MD, 오후에는 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명은 물론... "
"NS홈쇼핑, '2022 신입사원 채용 설명회' 열어",http://www.pressm.kr/news/articleView.html?idxno=51782,"등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간으로 마련됐다. 또한, 지난해 NS홈쇼핑에 입사한 직원의 생생한 경험담과 조언을 듣는 시간도 가졌다. 오전에는 MD, 오후에는 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명은... ","Thu, 25 Nov 2021 10:08:00 +0900","NS홈쇼핑, '2022 신입사원 채용 설명회' 열어 등 <b>취업</b>준비생의 궁금증을 해소 할 수 있는 시간으로 마련됐다. 또한, 지난해 NS홈쇼핑에 입사한 직원의 생생한 경험담과 조언을 듣는 시간도 가졌다. 오전에는 MD, 오후에는 PD와 <b>IT</b> 현직자가 나서 직무에 대한 설명은... "
